order_id,date,time,Order duration
1,01/01/2015,11:38:36,00:00:00
2,01/01/2015,11:57:40,00:19:04
3,01/01/2015,12:12:28,00:14:48
4,01/01/2015,12:16:31,00:04:03
5,01/01/2015,12:21:30,00:04:59
6,01/01/2015,12:29:36,00:08:06
7,01/01/2015,12:50:37,00:21:01
8,01/01/2015,12:51:37,00:01:00
9,01/01/2015,12:52:01,00:00:24
10,01/01/2015,13:00:15,00:08:14
11,01/01/2015,13:02:59,00:02:44
12,01/01/2015,13:04:41,00:01:42
13,01/01/2015,13:11:55,00:07:14
14,01/01/2015,13:14:19,00:02:24
15,01/01/2015,13:33:00,00:18:41
16,01/01/2015,13:34:07,00:01:07
17,01/01/2015,13:53:00,00:18:53
18,01/01/2015,13:57:08,00:04:08
19,01/01/2015,13:59:09,00:02:01
20,01/01/2015,14:03:08,00:03:59
21,01/01/2015,14:14:29,00:11:21
22,01/01/2015,14:16:26,00:01:57
23,01/01/2015,14:19:03,00:02:37
24,01/01/2015,14:23:01,00:03:58
25,01/01/2015,14:44:44,00:21:43
26,01/01/2015,14:54:26,00:09:42
27,01/01/2015,15:11:17,00:16:51
28,01/01/2015,15:35:46,00:24:29
29,01/01/2015,15:41:01,00:05:15
30,01/01/2015,15:41:25,00:00:24
31,01/01/2015,15:50:18,00:08:53
32,01/01/2015,15:53:18,00:03:00
33,01/01/2015,15:54:08,00:00:50
34,01/01/2015,16:21:21,00:27:13
35,01/01/2015,16:32:04,00:10:43
36,01/01/2015,16:54:09,00:22:05
37,01/01/2015,16:56:09,00:02:00
38,01/01/2015,17:03:00,00:06:51
39,01/01/2015,17:07:23,00:04:23
40,01/01/2015,17:14:36,00:07:13
41,01/01/2015,17:15:20,00:00:44
42,01/01/2015,17:28:09,00:12:49
43,01/01/2015,17:38:34,00:10:25
44,01/01/2015,17:54:20,00:15:46
45,01/01/2015,17:55:48,00:01:28
46,01/01/2015,18:25:51,00:30:03
47,01/01/2015,18:26:34,00:00:43
48,01/01/2015,18:26:42,00:00:08
49,01/01/2015,18:33:00,00:06:18
50,01/01/2015,18:41:01,00:08:01
51,01/01/2015,18:48:28,00:07:27
52,01/01/2015,18:53:02,00:04:34
53,01/01/2015,18:54:17,00:01:15
54,01/01/2015,19:01:45,00:07:28
55,01/01/2015,19:03:19,00:01:34
56,01/01/2015,19:07:00,00:03:41
57,01/01/2015,19:10:51,00:03:51
58,01/01/2015,19:30:40,00:19:49
59,01/01/2015,19:40:08,00:09:28
60,01/01/2015,20:05:16,00:25:08
61,01/01/2015,20:08:43,00:03:27
62,01/01/2015,20:50:16,00:41:33
63,01/01/2015,20:51:42,00:01:26
64,01/01/2015,20:52:08,00:00:26
65,01/01/2015,21:16:00,00:23:52
66,01/01/2015,21:47:55,00:31:55
67,01/01/2015,22:03:40,00:15:45
68,01/01/2015,22:07:32,00:03:52
69,01/01/2015,22:12:13,00:04:41
70,02/01/2015,11:38:51,###############################################################################################################################################################################################################################################################
71,02/01/2015,11:40:50,00:01:59
72,02/01/2015,11:57:25,00:16:35
73,02/01/2015,11:58:56,00:01:31
74,02/01/2015,12:01:12,00:02:16
75,02/01/2015,12:10:15,00:09:03
